Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Прованс фрезерованный,ДВ-ПРО-12,ДВ-ПРО-12,RUB,12,15100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fda/%D0%91%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%20%D0%9F%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D1%81%20%D0%B3%D0%BB%D1%83%D1%85.jpg,,,,,,,,Дверь Оникс,
"Дверь Рада с декором, фрезерованное",ДВ-РАД-13,ДВ-РАД-13,RUB,13,17700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/a83/%D0%A1%D0%BB%D0%BE%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BA%D0%BE%D1%81%D1%82%D1%8C%20%D0%BF%D0%BE%20%D0%9C%D0%94%D0%A4%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%20%D0%BF%D0%BE%20%D1%84%D1%80%D0%B5%D0%B7%D0%B5.jpg,,,,,,,,Дверь Оникс,
"Дверь Рада простое, фрезерованное",ДВ-РАД-14,ДВ-РАД-14,RUB,14,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c82/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE%20%D0%B3%D0%BB%D1%83%D1%85.jpg,,,,,,,,Дверь Оникс,
Дверь Сицилия,ДВ-СИЦ-15,ДВ-СИЦ-15,RUB,15,15700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/433/01.jpg,,,,,,,,Дверь Оникс,
"Дверь Гранд, фрезерованное",ДВ-ГРА-16,ДВ-ГРА-16,RUB,16,15100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/dc0/%D0%93%D1%80%D0%B0%D0%BD%D0%B4%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0.jpg,,,,,,,,Дверь Оникс,
"Дверь Эллипс, фрезерованное",ДВ-ЭЛЛ-17,ДВ-ЭЛЛ-17,RUB,17,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/9bb/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20%D0%AD%D0%BB%D0%BB%D0%B8%D0%BF%D1%81%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%20%D0%B3%D0%BB%D1%83%D1%85.jpg,,,,,,,,Дверь Оникс,
Дверь Брюссель,ДВ-БРЮ-18,ДВ-БРЮ-18,RUB,18,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/616/%D0%AD%D0%BC%D0%B0%D0%BB%D1%8C%20%D1%81%D0%B5%D1%80%D0%B0%D1%8F%20%D0%9C%D0%94%D0%A4%20-%207040%20%D0%91%D1%80%D1%8E%D1%81%D1%81%D0%B5%D0%BB%D1%8C%20%D0%B3%D0%BB%D1%83%D1%85.jpg,,,,,,,,Дверь Оникс,
"Дверь Валенсия, фрезерованное",ДВ-ВАЛ-19,ДВ-ВАЛ-19,RUB,19,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f47/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%283%29.png,,,,,,,,Дверь Оникс,
"Дверь Венеция, фрезерованное",ДВ-ВЕН-20,ДВ-ВЕН-20,RUB,20,13400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c4b/%D0%A1%D0%BA%D1%80%D0%B8%D0%BD%D1%88%D0%BE%D1%82%2014-01-2019%20163356.png,,,,,,,,Дверь Оникс,
Дверь Арт,ДВ-АРТ-0,ДВ-АРТ-0,RUB,0,25400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1d2/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F%20%282%29.png,,,,,,,,Дверь Оникс,
