Тип строки,Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Тип товаров,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина
product_variant,Арка Эллада,Эл-2П-35,27,RUB,,5320,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,510-900,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-32,28,RUB,,4620,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,200-500,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-28,29,RUB,,3920,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-36,30,RUB,,5600,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,510-900,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-29,31,RUB,,4340,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,200-500,800-900
product_variant,Арка Эллада,Эл-2П-25,32,RUB,,3640,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,190,800-900
product_variant,Арка Эллада,Эл-2П-33,33,RUB,,5320,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,510-900,800-900
product_variant,Арка Эллада,Эл-2П-30,34,RUB,,4340,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,200-500,900-1000
product_variant,Арка Эллада,Эл-2П-26,35,RUB,,3640,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,190,900-1000
product_variant,Арка Эллада,Эл-2П-34,36,RUB,,5320,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/mdf_preview.jpg,МДФ,,2650,510-900,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-7,37,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-11,38,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-3,39,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-8,40,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-12,41,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-4,42,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-5,43,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-9,44,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-1,45,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-6,46,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-10,47,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-2,48,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-19,49,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-23,50,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-15,51,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-20,52,RUB,,8540,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-24,53,RUB,,8820,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-16,54,RUB,,7700,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЯ-17,55,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-21,56,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-13,57,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,190,800-900
product_variant,Арка Эллада,Эл-2П-БЯ-18,58,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-22,59,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-14,60,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,190,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-7,61,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-11,62,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-3,63,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-8,64,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-12,65,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-4,66,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-5,67,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-ДА-9,68,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-ДА-1,69,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-ДА-6,70,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-10,71,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-2,72,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-15,73,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2450,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-7,74,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-11,75,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,700-1300 со сводорасширителем
