Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Розетка пирамида большая,ПИ-ПИР-7,ПИ-ПИР-7,RUB,7,1060,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b3a/%D0%BF%D0%B8%D1%80%D0%B0%D0%BC%D0%B8%D0%B4%D0%B0_%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F.jpg,,,,,,,,Погонажные изделия,
Розетка фрезерованная малая,ПИ-ФРЕ-8,ПИ-ФРЕ-8,RUB,8,570,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/5fe/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F_%D0%BA%D1%80-%D0%B4%D0%B5%D1%80%20%D0%BA%D1%80%D1%83%D0%B3_.jpg,,,,,,,,Погонажные изделия,
Розетка фрезерованная большая,ПИ-ФРЕ-9,ПИ-ФРЕ-9,RUB,9,740,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/572/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F_%D0%BA%D1%80-%D0%B4%D0%B5%D1%80%20%D0%BA%D1%80%D1%83%D0%B3_.jpg,,,,,,,,Погонажные изделия,
Розетка контурная малая,ПИ-КОН-10,ПИ-КОН-10,RUB,10,570,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/a13/%D0%BA%D0%BE%D0%BD%D1%82%D1%83%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BC%D0%B0%D0%BB%D0%B0%D1%8F1.jpg,,,,,,,,Погонажные изделия,
Розетка контурная большая,ПИ-КОН-11,ПИ-КОН-11,RUB,11,740,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/dca/%D0%BA%D0%BE%D0%BD%D1%82%D1%83%D1%80%D0%BD%D0%B0%D1%8F%20%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F1.jpg,,,,,,,,Погонажные изделия,
Розетка рим,ПИ-РИМ-12,ПИ-РИМ-12,RUB,12,1710,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/a61/%D1%80%D0%B8%D0%BC.png,,,,,,,,Погонажные изделия,
Розетка классика,ПИ-КЛА-13,ПИ-КЛА-13,RUB,13,1160,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/ad0/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0%201%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Розетка лира,ПИ-ЛИР-14,ПИ-ЛИР-14,RUB,14,1160,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/b23/%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B0%20%D0%BB%D0%B8%D1%80%D0%B0%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%BE.jpg,,,,,,,,Погонажные изделия,
Комплект классика,ПИ-КЛА-0,ПИ-КЛА-0,RUB,0,7600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/d3b/%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0.jpg,,,,,,,,Погонажные изделия,
Комплект лира,ПИ-ЛИР-1,ПИ-ЛИР-1,RUB,1,7600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/a77/%D0%BB%D0%B8%D1%80%D0%B0%2B%D0%BB%D0%B8%D1%80%D0%B0%20%D1%80%D0%BE%D0%B7%D0%B5%D1%82%D0%BA%D0%B8%20%D1%84%D1%80%D0%B0%D0%B3%D0%BC%D0%B5%D0%BD%D1%82.jpg,,,,,,,,Погонажные изделия,
Добор телескопический,ПИ-ТЕЛ-0,ПИ-ТЕЛ-0,RUB,0,910,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/343/%D0%B4%D0%BE%D0%B1%D0%BE%D1%80%20%D1%82%D0%B5%D0%BB%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%20%D0%B3%D0%BE%D1%80.jpg,,,,,,,,Погонажные изделия,
Добор с кромкой,ПИ-С-1,ПИ-С-1,RUB,1,910,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/c2c/%D0%B4%D0%BE%D0%B1%D0%BE%D1%80%20%D0%B0%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9%20%20%D1%81%20%D0%BA%D1%80%D0%BE%D0%BC%D0%BA%D0%BE%D0%B9%20%D0%BE%D1%80%D0%B5%D1%85%20%D0%B3%D0%BE%D1%80%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Добор без кромки,ПИ-БЕЗ-2,ПИ-БЕЗ-2,RUB,2,710,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/cee/%D0%B4%D0%BE%D0%B1%D0%BE%D1%80%20%D0%B4%D1%83%D0%B1%20%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D1%8B%D0%B9%20%D0%B3%D0%BE%D1%80.jpg,,,,,,,,Погонажные изделия,
Притворная планка,ПИ-ПЛА-0,ПИ-ПЛА-0,RUB,0,610,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/5aa/%D0%BF%D1%80%D0%B8%D1%82%D0%B2%D0%BE%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%BB%D0%B0%D0%BD%D0%BA%D0%B0%20%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%20%D1%87%D1%91%D1%80%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
