Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Полукруглый наличник,ПИ-НАЛ-1,ПИ-НАЛ-1,RUB,1,500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/503/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BA%D0%B0%D0%BF%D0%BB%D1%8F%20%D0%B4%D1%83%D0%B1%20%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D1%8B%D0%B9.jpg,,,,,,,,Погонажные изделия,
Фрезерованный наличник,ПИ-НАЛ-2,ПИ-НАЛ-2,RUB,2,680,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/712/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D1%84%D1%80%D0%B5%D0%B7%D0%B0%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE.jpg,,,,,,,,Погонажные изделия,
Рифленый,ПИ-НАЛ-2,ПИ-НАЛ-2,RUB,3,680,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2fc/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D1%80%D0%B8%D1%84%D0%BB%D0%B5%D0%BD%D1%8B%D0%B9%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%D0%B5%D0%B1%D1%80%D0%BE.jpg,,,,,,,,Погонажные изделия,
Наличник классика телескопический,ПИ-КЛА-4,ПИ-КЛА-4,RUB,4,1400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/fab/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D1%81%D1%82%D0%BE%D1%8F%20%D0%BA%D0%BB%D0%B0%D1%81%D1%81%D0%B8%D0%BA%D0%B0%20%D0%B3%D0%BE%D1%80%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C.jpg,,,,,,,,Погонажные изделия,
Наличник телескопический,ПИ-ТЕЛ-5,ПИ-ТЕЛ-5,RUB,5,740,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/ecc/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%BA%D0%BE%D0%BF%20%D0%BC%D0%BE%D0%BA%D0%BA%D0%BE.jpg,,,,,,,,Погонажные изделия,
Прямой с декором флора,ПИ-С-6,ПИ-С-6,RUB,6,570,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/ece/%D0%BD%D0%B0%D0%BB%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D1%81%20%D0%B4%D0%B5%D0%BA%20%D1%84%D0%BB%D0%BE%D1%80%D0%B0%20%D0%B2%D0%B5%D1%80%D1%82.jpg,,,,,,,,Погонажные изделия,
Металлический наличник,ПИ-НАЛ-7,ПИ-НАЛ-7,RUB,7,2640,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/4f3/%D0%BD%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA_%D1%81%D0%B0%D0%B9%D1%82.jpg,,,,,,,,Погонажные изделия,
Капитель простая,ПИ-ПРО-0,ПИ-ПРО-0,RUB,0,1980,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/408/%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F%20%D1%8D%D0%BC%D0%B0%D0%BB%D1%8C%20%D0%BF%D0%B0%D1%82%D0%B8%D0%BD%D0%B0%20%D1%81%D0%B5%D1%80%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
Капитель с софья,ПИ-С-1,ПИ-С-1,RUB,1,5200,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1d0/%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D1%81%D0%BE%D1%84%D1%8C%D1%8F%20%D1%84%D1%80%D0%B0%D0%B3%D0%BC%D0%B5%D0%BD%D1%82.jpg,,,,,,,,Погонажные изделия,
Капитель с декором флора,ПИ-С-2,ПИ-С-2,RUB,2,4400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/8a5/%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%20%D1%84%D0%BB%D0%BE%D1%80%D0%B0%20%D0%BA%D0%BE%D0%BD%D1%8C%D1%8F%D0%BA1%20%D0%B0%D0%BD%D0%BE%D0%BD%D1%81.jpg,,,,,,,,Погонажные изделия,
